Number,Blocked or Success,Day of Week,Month,Date,Time,Week Number,ISO-8601
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:19,WN7,2017-02-12 13:19:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:24,WN7,2017-02-12 13:24:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:29,WN7,2017-02-12 13:29:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:34,WN7,2017-02-12 13:34:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:41,WN7,2017-02-12 13:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:46,WN7,2017-02-12 13:46:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:51,WN7,2017-02-12 13:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,13:56,WN7,2017-02-12 13:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:01,WN7,2017-02-12 14:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:06,WN7,2017-02-12 14:06:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:11,WN7,2017-02-12 14:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:16,WN7,2017-02-12 14:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:21,WN7,2017-02-12 14:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:26,WN7,2017-02-12 14:26:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:31,WN7,2017-02-12 14:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:36,WN7,2017-02-12 14:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:41,WN7,2017-02-12 14:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:46,WN7,2017-02-12 14:46:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:51,WN7,2017-02-12 14:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,14:56,WN7,2017-02-12 14:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:01,WN7,2017-02-12 15:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:06,WN7,2017-02-12 15:06:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:11,WN7,2017-02-12 15:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:16,WN7,2017-02-12 15:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:21,WN7,2017-02-12 15:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:26,WN7,2017-02-12 15:26:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:31,WN7,2017-02-12 15:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:36,WN7,2017-02-12 15:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:41,WN7,2017-02-12 15:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:46,WN7,2017-02-12 15:46:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:51,WN7,2017-02-12 15:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,15:56,WN7,2017-02-12 15:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:01,WN7,2017-02-12 16:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:06,WN7,2017-02-12 16:06:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:11,WN7,2017-02-12 16:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:16,WN7,2017-02-12 16:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:21,WN7,2017-02-12 16:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:26,WN7,2017-02-12 16:26:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:31,WN7,2017-02-12 16:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:40,WN7,2017-02-12 16:40:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:41,WN7,2017-02-12 16:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:43,WN7,2017-02-12 16:43:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:46,WN7,2017-02-12 16:46:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:47,WN7,2017-02-12 16:47:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:48,WN7,2017-02-12 16:48:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:48,WN7,2017-02-12 16:48:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:49,WN7,2017-02-12 16:49:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,16:54,WN7,2017-02-12 16:54:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,17:18,WN7,2017-02-12 17:18:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,19:18,WN7,2017-02-12 19:18:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,19:18,WN7,2017-02-12 19:18:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,19:20,WN7,2017-02-12 19:20:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,19:22,WN7,2017-02-12 19:22:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,20:10,WN7,2017-02-12 20:10:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,20:11,WN7,2017-02-12 20:11:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,20:13,WN7,2017-02-12 20:13:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Sunday,February,12-02-2017,21:04,WN7,2017-02-12 21:04:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,3:16,WN7,2017-02-13 3:16:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,3:17,WN7,2017-02-13 3:17:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,3:18,WN7,2017-02-13 3:18:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,3:48,WN7,2017-02-13 3:48:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:05,WN7,2017-02-13 7:05:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:10,WN7,2017-02-13 7:10:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:20,WN7,2017-02-13 7:20:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:25,WN7,2017-02-13 7:25:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:30,WN7,2017-02-13 7:30:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:31,WN7,2017-02-13 7:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:31,WN7,2017-02-13 7:31:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:32,WN7,2017-02-13 7:32:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:36,WN7,2017-02-13 7:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:41,WN7,2017-02-13 7:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:46,WN7,2017-02-13 7:46:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:50,WN7,2017-02-13 7:50:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:51,WN7,2017-02-13 7:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:51,WN7,2017-02-13 7:51:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:52,WN7,2017-02-13 7:52:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,7:56,WN7,2017-02-13 7:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:01,WN7,2017-02-13 8:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:06,WN7,2017-02-13 8:06:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:10,WN7,2017-02-13 8:10:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:11,WN7,2017-02-13 8:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:11,WN7,2017-02-13 8:11:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:12,WN7,2017-02-13 8:12:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:16,WN7,2017-02-13 8:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:21,WN7,2017-02-13 8:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:26,WN7,2017-02-13 8:26:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:30,WN7,2017-02-13 8:30:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:31,WN7,2017-02-13 8:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:31,WN7,2017-02-13 8:31:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:32,WN7,2017-02-13 8:32:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:36,WN7,2017-02-13 8:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:41,WN7,2017-02-13 8:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:46,WN7,2017-02-13 8:46:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:51,WN7,2017-02-13 8:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:51,WN7,2017-02-13 8:51:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:52,WN7,2017-02-13 8:52:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,8:56,WN7,2017-02-13 8:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:01,WN7,2017-02-13 9:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:06,WN7,2017-02-13 9:06:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:10,WN7,2017-02-13 9:10:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:11,WN7,2017-02-13 9:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:11,WN7,2017-02-13 9:11:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:12,WN7,2017-02-13 9:12:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:16,WN7,2017-02-13 9:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:21,WN7,2017-02-13 9:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:26,WN7,2017-02-13 9:26:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:31,WN7,2017-02-13 9:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:31,WN7,2017-02-13 9:31:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:32,WN7,2017-02-13 9:32:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:36,WN7,2017-02-13 9:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:41,WN7,2017-02-13 9:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:46,WN7,2017-02-13 9:46:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:51,WN7,2017-02-13 9:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:51,WN7,2017-02-13 9:51:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:52,WN7,2017-02-13 9:52:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,9:56,WN7,2017-02-13 9:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:01,WN7,2017-02-13 10:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:06,WN7,2017-02-13 10:06:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:11,WN7,2017-02-13 10:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:11,WN7,2017-02-13 10:11:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:12,WN7,2017-02-13 10:12:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:16,WN7,2017-02-13 10:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:21,WN7,2017-02-13 10:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:26,WN7,2017-02-13 10:26:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:31,WN7,2017-02-13 10:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:31,WN7,2017-02-13 10:31:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:32,WN7,2017-02-13 10:32:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:36,WN7,2017-02-13 10:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:41,WN7,2017-02-13 10:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:46,WN7,2017-02-13 10:46:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:51,WN7,2017-02-13 10:51:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:52,WN7,2017-02-13 10:52:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,10:56,WN7,2017-02-13 10:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:01,WN7,2017-02-13 11:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:06,WN7,2017-02-13 11:06:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:11,WN7,2017-02-13 11:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:11,WN7,2017-02-13 11:11:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:12,WN7,2017-02-13 11:12:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:16,WN7,2017-02-13 11:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:21,WN7,2017-02-13 11:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:26,WN7,2017-02-13 11:26:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:31,WN7,2017-02-13 11:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:31,WN7,2017-02-13 11:31:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:32,WN7,2017-02-13 11:32:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:36,WN7,2017-02-13 11:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:41,WN7,2017-02-13 11:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:46,WN7,2017-02-13 11:46:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:51,WN7,2017-02-13 11:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:51,WN7,2017-02-13 11:51:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:52,WN7,2017-02-13 11:52:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,11:56,WN7,2017-02-13 11:56:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:01,WN7,2017-02-13 12:01:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:06,WN7,2017-02-13 12:06:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:11,WN7,2017-02-13 12:11:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:11,WN7,2017-02-13 12:11:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:12,WN7,2017-02-13 12:12:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:16,WN7,2017-02-13 12:16:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:21,WN7,2017-02-13 12:21:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:26,WN7,2017-02-13 12:26:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:31,WN7,2017-02-13 12:31:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:31,WN7,2017-02-13 12:31:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:32,WN7,2017-02-13 12:32:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:36,WN7,2017-02-13 12:36:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:41,WN7,2017-02-13 12:41:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:46,WN7,2017-02-13 12:46:00
61136150,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:50,WN7,2017-02-13 12:50:00
1800076072,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:51,WN7,2017-02-13 12:51:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:51,WN7,2017-02-13 12:51:00
1800132468,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:52,WN7,2017-02-13 12:52:00
61132307,SUCCESSFULLY ABLE TO ENTER PHONE QUEUE,Monday,February,13-02-2017,12:56,WN7,2017-02-13 12:56:00
